timestamp_ms,bytes_read,bytes_written
0,141729792,272416768
5624,142581760,303132672
11232,143568896,339378176
16811,144162816,373338112
22406,145031168,425091072
28045,146374656,482631680
33681,149471232,568643584
39313,152633344,654630912
44940,293130240,824139776
50576,443002880,1086840832
56173,596070400,1526218752
61767,875823104,1994235904
67369,1012645888,2512699392
72986,1012682752,2903785472
78622,1146880000,3092090880
84267,1281421312,3478982656
89862,1415659520,4066140160
95488,1952063488,4699721728
101128,2354614272,5520248832
106757,2756853760,6170701824
112345,3025969152,6774734848
117989,3294220288,7132004352
123610,3428384768,7864516608
129258,3696533504,8310063104
134920,4015480832,9241686016
140507,4501368832,9873903616
146122,5037785088,10575626240
151737,5574250496,11271757824
157357,6244720640,12048330752
162968,6647128064,12931309568
168593,7317696512,14262779904
174178,7720103936,15022555136
179812,8324374528,16619507712
185418,8892694528,17855483904
191047,9661661184,18663145472
196658,10450907136,19440730112
202300,11334643712,20279488512
207954,12070330368,21146353664
213553,12810985472,21876936704
219177,13676511232,22546288640
224781,14528786432,23212601344
230427,15353262080,23928455168
236036,16426061824,24710578176
241671,17171587072,26391494656
247276,17976381440,27041497088
252874,18864795648,27915747328
258491,19583299584,28858187776
264113,20446613504,30341242880
269758,21538693120,30855426048
275374,22381125632,33083097088
281006,23367598080,33935175680
286661,24206643200,34961809408
292289,25043034112,36022808576
297954,26042761216,36834603008
303603,26993418240,38081441792
309252,27859861504,38943936512
314907,28787142656,39910150144
320531,29677080576,41025323008
326171,30633283584,41572990976
331787,31514681344,42989096960
337445,32579198976,43864174592
343088,33625300992,44807553024
348730,34493067264,45664493568
354394,35814297600,46846373888
360080,36383711232,47695659008
365728,37693190144,48602951680
371379,38305173504,51039543296
377065,39438962688,52097187840
382680,40170864640,53625765888
388341,41234903040,55076974592
394006,42453016576,56028995584
399630,43386556416,57102381056
405301,44613976064,58189717504
410978,45520764928,58905849856
416602,46737096704,60058488832
422237,47914545152,60770193408
427870,48536854528,61669175296
433527,50094477312,62814941184
439179,50919755776,63668219904
444820,52038569984,64960794624
450520,53093257216,65712607232
456154,54140502016,66735939584
461864,55171940352,67997421568
467542,56859832320,68797313024
473240,58161250304,71964831744
478894,59021660160,73322131456
