timestamp_ms,bytes_read,bytes_written
0,150614016,265195520
5684,151908352,296349696
11306,152911872,332541952
16918,153653248,368930816
22521,154390528,419020800
28119,155652096,473059328
33737,156901376,554070016
39340,161783808,642392064
45033,170213376,797069312
50645,315871232,1036898304
56228,600203264,1428533248
61842,744472576,1889280000
67445,1016893440,2431619072
73084,1153175552,3036741632
78704,1290932224,3588374528
84313,1563443200,4131905536
89915,2103250944,4841299968
95507,2505723904,5635276800
101103,2864070656,6301716480
106718,3575832576,7013060608
112340,4250529792,7960567808
117928,4963704832,9070219264
123540,5383733248,9761460224
129145,6016135168,10380210176
134735,6840025088,11092938752
140362,7598280704,11937730560
145967,8422731776,13296594944
151605,9227735040,14217449472
157252,9959591936,15114637312
162871,10821361664,16500916224
168489,11672326144,17683214336
174103,12360196096,18467061760
179714,13149233152,19327037440
185350,14076723200,20245344256
190966,14927773696,21223784448
196618,15590854656,21846077440
202260,16396460032,22593335296
207865,17376108544,23399501824
213494,18095333376,24178196480
219146,19125817344,25659453440
224779,19980746752,26510303232
230407,20952207360,27540598784
236024,21788626944,28647903232
241655,22865842176,29988622336
247294,23863431168,30946877440
252910,24765325312,33035157504
258570,25781649408,33632329728
264212,26679349248,35127406592
269870,27723300864,36254633984
275521,28644630528,37171998720
281164,29824180224,38090465280
286812,30770913280,38805082112
292467,31683846144,39545778176
298116,32561426432,40389730304
303754,33530167296,41089499136
309406,34455146496,42026913792
315122,35415433216,42648584192
320870,36263723008,43672367104
326603,37374787584,44555202560
332414,38501842944,45617291264
338157,39336771584,46669070336
343934,40236883968,50068111360
349674,41160228864,50898477056
355454,42185248768,51802955776
361177,43267526656,53370433536
366972,44379492352,54751371264
372706,45168615424,55117529088
378463,46202617856,56425422848
384254,47496732672,57367609344
389993,48505151488,58488164352
395804,49509003264,59555082240
401501,50708029440,60022018048
407304,51933384704,61523353600
413053,52894703616,62505234432
418791,54047580160,63466229760
424530,55129440256,64528551936
430273,56443826176,65394434048
436039,57611739136,66576969728
441801,59270586368,67137511424
447488,60402491392,70431477760
453204,61329362944,71504220160
458954,62602158080,72456101888
464705,63462010880,73141248000
470490,64630992896,74563518464
476250,66142035968,75547832320
482015,67017977856,75781505024
487853,68430069760,77180190720
493620,69388668928,78283026432
499382,70808354816,79040610304
505201,71456071680,79386345472
510882,72294690816,80716668928
516654,73622384640,81531588608
522402,74894680064,82740682752
528200,76205916160,83784790016
534037,77387890688,84492673024
539744,79187648512,86374912000
545501,80582512640,87608774656
551240,81358118912,88893554688
557039,82937692160,89909690368
562807,84938526720,90729648128
568525,86215974912,94683639808
574272,87554228224,95651876864
580022,89022074880,96413446144
585760,90168311808,97427181568
591543,91348467712,98432790528
597348,92594233344,99217960960
603108,95062016000,99895783424
608882,96553041920,102572040192
614646,97613340672,103832850432
620479,99636948992,105100574720
626292,101528723456,105927065600
631996,102746615808,106595717120
637735,103812792320,107592785920
643528,105421840384,108966395904
649241,106845040640,109532463104
655020,108208922624,110177951744
660786,109165780992,111228563456
666583,110991347712,112865677312
672415,113150558208,114062520320
678146,114412003328,114731266048
683885,115750264832,115635777536
689608,117018124288,116550901760
695394,118807121920,118201090048
701146,120389931008,118854799360
706881,122249158656,119553691648
712606,123290079232,120343007232
718282,125216481280,121617846272
724084,126595026944,122280366080
729782,128146509824,123079929856
735523,129124323328,123984891904
741278,130597359616,125294166016
747052,132428931072,126670630912
752815,134339956736,127578947584
758553,135911325696,128797507584
764277,137347194880,129827151872
770066,138905153536,130931802112
775804,140698517504,131550236672
781659,143973916672,132073984000
787323,145168928768,137598406656
792989,147075305472,137598406656
798750,148273434624,138664964096
804450,150120353792,139884351488
810201,152488017920,141071462400
815917,153761595392,141880426496
821582,156062871552,142328492032
827264,157513134080,143317016576
832949,159503663104,144540418048
838613,161696890880,145901035520
844311,163816685568,146979647488
849985,165320790016,147346612224
855634,167115026432,148264189952
861311,169270865920,149767020544
867014,171001581568,151063470080
872678,173195132928,152045252608
878351,175234113536,153180237824
883996,176626450432,154055950336
889693,178295713792,155345272832
895363,180563144704,156616871936
901023,183006498816,157723062272
906705,184719605760,158677512192
912332,186624856064,159128997888
917962,189150625792,159881797632
923627,191849639936,161098321920
929302,193437528064,162027556864
934968,195326156800,162599317504
940628,196375408640,163893940224
946305,197990227968,165258584064
951951,199637831680,166681403392
957625,202419277824,167419027456
963334,205225148416,168119545856
968954,207942160384,170454298624
974643,209159340032,170782724096
980301,211473690624,172021825536
985963,213376139264,173219061760
991636,215155822592,174203334656
997310,217808084992,175492907008
1002966,219635347456,176920682496
1008624,222080331776,177584308224
1014258,224934060032,178705248256
1019916,227385679872,179643375616
1025529,229451943936,180376453120
1031179,231734374400,180866752512
1036818,233529389056,182010568704
1042491,235100844032,182880579584
1048110,236599009280,183518838784
1053754,238879367168,184521523200
1059434,241016557568,185517555712
1065103,242913308672,186151534592
1070713,246943662080,186458411008
1076370,249548554240,186458411008
1081970,250472673280,193626525696
1087684,252648587264,193721831424
1093382,254652911616,194705047552
1099055,256401440768,195554963456
1104741,258611056640,195814203392
1110393,261489188864,196453289984
1116119,263070789632,197374177280
1121785,264682016768,197807075328
1127503,267074002944,198822793216
1133325,269476651008,199481032704
1138958,271717220352,199481032704
1144660,273895411712,203968397312
1150405,276143177728,204218462208
1156127,279007510528,205131960320
1161865,281704759296,206186762240
1167577,284200837120,206330601472
1173336,286220402688,207505235968
1179063,288104747008,208362799104
1184824,290800791552,208857817088
1190608,292869922816,209911533568
1196386,295104716800,210334896128
1202111,297638936576,211297095680
1207842,299012345856,212617216000
1213558,301507600384,213068079104
1219273,303131856896,214299394048
1225073,305828392960,214861967360
1230860,308371124224,215814610944
1236635,310036635648,216582803456
1242317,311770021888,216985407488
1248091,312927051776,218145787904
1253818,314882314240,218350833664
1259577,317059850240,218996056064
1265345,319113924608,220126330880
1271133,321169342464,220766044160
1276911,322854858752,222195068928
1282610,325864718336,222687006720
1288369,327390027776,223851384832
