timestamp_ms,phys_footprint,phys_footprint_peak
0,477102080,477102080
5684,499122176,499122176
11306,506462208,506462208
16918,520093696,520093696
22521,535822336,535822336
28119,559939584,559939584
33737,585105408,585105408
39340,628097024,628097024
45033,695205888,695205888
50645,834666496,834666496
56228,981467136,981467136
61842,1086324736,1151336448
67445,1301282816,1317011456
73084,1468006400,1493172224
78704,1623195648,1698693120
84313,1943011328,2000683008
89915,2340421632,2366636032
95507,2546991104,2546991104
101103,2774532096,2798649344
106718,3154116608,3180331008
112340,3375366144,3375366144
117928,3659530240,3692036096
123540,4022337536,4093640704
129145,4406116352,4407164928
134735,4955570176,4955570176
140362,5034213376,5103419392
145967,5104467968,5205131264
151605,5282725888,5287968768
157252,5349834752,5349834752
162871,5264900096,5352980480
168489,5193596928,5352980480
174103,5282725888,5352980480
179714,5318377472,5395972096
185350,5350883328,5409603584
190966,5383389184,5425332224
196618,5408555008,5458886656
202260,5406457856,5458886656
207865,5440012288,5458886656
213494,5422186496,5458886656
219146,5534384128,5549064192
224779,5544869888,5640290304
230407,5545918464,5660213248
236024,5583667200,5660213248
241655,5641338880,5660213248
247294,5633998848,5700059136
252910,5747245056,5814353920
258570,5764022272,5827985408
264212,5815402496,5897191424
269870,5879365632,5935988736
275521,5835325440,5961154560
281164,5836374016,5961154560
286812,5836374016,5973737472
292467,5837422592,5973737472
298116,5883559936,5973737472
303754,5904531456,5982126080
309406,5844762624,5982126080
315122,5844762624,5982126080
320870,5890899968,5982126080
326603,5897191424,5982126080
332414,5943328768,6071255040
338157,6013583360,6080692224
343934,6039797760,6106906624
349674,6053429248,6171918336
355454,6009389056,6171918336
361177,5966397440,6171918336
366972,6015680512,6209667072
372706,6016729088,6209667072
378463,6015680512,6209667072
384254,6081740800,6209667072
389993,6026166272,6259998720
395804,6036652032,6259998720
401501,6093275136,6275727360
407304,6061817856,6275727360
413053,6110052352,6275727360
418791,6086983680,6275727360
424530,6191841280,6275727360
430273,6069157888,6275727360
436039,6232735744,6275727360
441801,6131023872,6275727360
447488,6076497920,6275727360
453204,6228541440,6275727360
458954,6083837952,6372196352
464705,6154092544,6372196352
470490,6144655360,6516899840
476250,6190792704,6516899840
482015,6758072320,6831472640
487853,6485442560,7096762368
493620,6233784320,7096762368
499382,6337593344,7204765696
505201,7061110784,7204765696
510882,6370099200,7204765696
516654,6522142720,7204765696
522402,6410993664,7204765696
528200,6442450944,7204765696
