timestamp_ms,bytes_read,bytes_written
0,7524352,65048576
5191,142024704,112091136
10453,142032896,297082880
15742,279068672,597217280
21007,548093952,1246801920
26273,950632448,2149781504
31562,1219026944,3269787648
36866,1772462080,4465270784
42152,2426245120,5629337600
47426,3101196288,6613770240
52734,3646824448,8070696960
58028,4407611392,9554862080
63356,5212336128,10512842752
68656,5918961664,11520606208
73972,6938103808,12654403584
79248,7961194496,14243905536
84543,9117356032,15300485120
89822,10244972544,17026551808
95112,11452944384,18113056768
100430,12679405568,19323273216
105732,14026694656,20400189440
111031,15257059328,21552148480
116339,16495058944,22679654400
121691,17811238912,23748935680
126980,19172794368,24694476800
132327,20245557248,26389643264
137637,21465862144,27447689216
142941,22674702336,28690792448
148300,24272297984,30149181440
153606,25446416384,31310954496
158932,27178405888,32805228544
164266,28660408320,34072502272
169620,29961469952,35093585920
174946,31379951616,35930959872
180229,33196625920,37454172160
185559,34633080832,38428848128
190891,36421693440,39438893056
196195,37716439040,40567599104
201510,39003213824,41609240576
206833,40715567104,42642907136
212156,42356551680,43728506880
217463,43785232384,44670111744
222755,45540466688,45762580480
228041,46467141632,46622777344
233375,48740859904,47879868416
238687,49981444096,48912539648
243977,52708843520,49839525888
249273,53753741312,52005339136
254566,55642439680,53098618880
259868,57784586240,54084567040
265146,60062216192,55702982656
270446,61702492160,56711561216
275774,64134053888,57743347712
281108,65573560320,58396557312
286456,67954733056,59923443712
291805,69682970624,60640501760
297108,71068692480,61581131776
302435,73658249216,62892249088
307746,75185176576,63367475200
313056,76985135104,64443707392
318335,78631251968,65166065664
323648,79907827712,66243911680
328958,82522316800,67550724096
334297,84301737984,67973586944
339591,85954490368,69334470656
344914,88883662848,70385213440
350178,91224797184,72807030784
355476,93184446464,72991965184
360799,95549358080,73920692224
366118,98129088512,74928504832
371460,99577487360,75542646784
376841,101343637504,76474597376
382225,103531905024,77726568448
387644,106259050496,78541975552
393024,108025061376,79003455488
398400,109756420096,80227524608
403838,112459321344,81444155392
409236,114899017728,81894658048
414639,116310511616,82453295104
420023,117751914496,83679412224
425369,120710582272,84823662592
430706,123380330496,85746479104
436045,125249368064,86312570880
441412,128320528384,87313195008
446784,130821758976,88118571008
452144,132565622784,88468234240
457493,134269341696,89651961856
462915,136482713600,90421465088
468294,140067909632,91574280192
473639,142834921472,92662771712
478981,145088778240,92941213696
484316,147929616384,93631033344
489661,149379018752,95007920128
495050,150459195392,95945609216
500304,153785905152,96817303552
505599,156906598400,97454514176
510932,160449064960,98813071360
516287,162613911552,99182727168
521631,164453560320,99608637440
526999,167000350720,100759674880
532381,169711570944,101924401152
537722,172617089024,102699606016
543074,175182811136,103045885952
548430,177497612288,103486603264
553795,178834849792,103823441920
559122,181249970176,103957200896
564499,183571529728,104954384384
569903,186515386368,105956233216
575310,189678608384,107037220864
580679,192464277504,107421679616
586052,194833457152,108114575360
591437,197866422272,108969721856
596792,201022394368,109955080192
602172,203901165568,110885871616
607548,206787203072,111380766720
612914,209244749824,112342011904
618345,212440596480,113039052800
623681,215291973632,114273714176
629103,218283290624,115137323008
634455,221331456000,115699740672
639763,223743561728,116147568640
645180,226688090112,117372289024
650549,230418591744,118153596928
655961,234319003648,118868660224
661342,237343940608,119457099776
666689,240013930496,120016699392
672067,242568732672,121255223296
677460,245920849920,122145701888
682815,249584037888,123094228992
688195,253063544832,124273086464
693578,256157057024,124952428544
698962,259225067520,125794967552
704329,262743638016,126637584384
709735,265747873792,127827746816
715069,269523959808,128838508544
720451,272704245760,129344040960
725806,275438804992,130036068352
731136,278402957312,131236745216
736522,281709879296,132089864192
741919,285515288576,133075181568
747278,289447604224,134057558016
752627,292823207936,134493102080
757981,294593986560,135327580160
763339,295268364288,135976042496
768611,297289142272,136053047296
773985,298484293632,138813980672
779266,303481196544,138813980672
784634,306527563776,139430961152
789963,309936893952,140239413248
795305,313125982208,141222621184
800696,317149261824,141802033152
806064,321111142400,142900510720
811426,324433362944,143497687040
816795,327588417536,144433213440
822148,331727761408,145113194496
827515,335527006208,146485325824
832931,339448696832,147236368384
838312,343515508736,147638816768
843687,346745257984,148275183616
849055,349804335104,149417508864
854500,353323954176,150053343232
859829,357528276992,151173992448
865192,361374810112,152115793920
870612,365423099904,153382776832
875952,369507684352,153474830336
881311,372976799744,154697392128
886657,377830080512,155691237376
892036,382371803136,156713525248
897384,386786656256,157748731904
902737,390532796416,158114283520
908070,393687965696,158343917568
913483,397229699072,159774601216
918869,401628917760,161029685248
924265,407001264128,162132164608
929618,411364569088,163448840192
935005,416107343872,164016848896
940366,421059215360,164420956160
945727,424995483648,164645982208
951098,428875952128,165873958912
956481,433423228928,166370304000
961848,437556592640,167818113024
967189,443267072000,168623226880
972522,447553388544,169716314112
977839,451674722304,169997250560
983239,453897728000,170440396800
988612,455342305280,170440396800
993981,456621768704,172740612096
999327,461244125184,172740612096
1004681,465646764032,173045829632
1010064,470077128704,174324740096
1015381,474861379584,174620639232
1020838,477877035008,176206106624
1026156,482019074048,177898463232
1031445,487978541056,177898463232
1036773,492421455872,178761904128
1042152,497601470464,179651428352
1047505,501431332864,180132810752
1052829,505153425408,180209266688
1058249,509407121408,181476372480
1063596,514808254464,181961371648
1068949,519591256064,183289548800
1074302,524825112576,184291782656
1079681,529174773760,185154052096
1085035,533800869888,185829134336
1090393,537445367808,186311434240
1095734,541415522304,186454196224
1101170,545633931264,187760758784
1106522,549986725888,188354736128
1111830,554876997632,188617768960
1117197,558790135808,189353066496
1122552,563343253504,189938954240
1127879,566800392192,190326489088
1133198,567183523840,190846418944
1138534,567573979136,191367659520
1143903,568191598592,192003883008
1149303,568838881280,192666550272
1154646,569632231424,193244102656
1159987,571631730688,193370456064
1165324,574775468032,195919101952
1170641,579274956800,195919101952
1175989,582020411392,196864086016
1181328,585875734528,197407141888
1186680,589343735808,197988511744
1192018,593088897024,198280163328
1197398,596706443264,199428050944
1202745,600114540544,199931322368
1208101,602763116544,200382185472
1213455,605951877120,201005408256
1218842,609946988544,201953234944
1224197,613949480960,202292334592
1229577,616233332736,203007725568
1234966,617802866688,204589932544
1240341,620851118080,206384422912
1245622,625862668288,206384422912
1250970,629588099072,206935429120
1256350,634131529728,207800098816
1261712,637212930048,208474529792
1267036,641331134464,208645431296
