timestamp_ms,bytes_read,bytes_written
0,4980736,987136
5288,148242432,17268736
10612,148242432,49360896
15947,148246528,88883200
21289,148250624,120492032
26635,148746240,174104576
32016,150024192,236109824
37375,150122496,332611584
42750,150122496,449478656
48140,284295168,603492352
53468,418508800,932048896
58803,706957312,1333215232
64149,848621568,1768579072
69505,983474176,2432086016
74860,1251864576,2927677440
80216,1386373120,3415953408
85563,1789206528,4087656448
90898,2108071936,4909584384
96249,2594021376,5518917632
101576,3013308416,6239203328
106915,3398848512,6901415936
112276,3801108480,7901708288
117598,4203630592,9044414464
122953,4739981312,9678499840
128282,5276426240,10285813760
133627,5812707328,10916868096
138977,6349058048,11753906176
144313,6801936384,13136801792
149702,7287771136,14106238976
155079,7958466560,14846324736
160454,8624791552,16456581120
165798,9465786368,17543245824
171175,10130923520,18350825472
176528,10896023552,19142111232
181889,11826589696,20012216320
187257,12562616320,20896710656
192616,13246005248,21607759872
197985,14158209024,22314323968
203349,14858321920,22935556096
208686,15519039488,23634194432
214059,16518332416,25406730240
219405,17335898112,26149580800
224748,18267385856,26868137984
230111,18953486336,28168097792
235490,19858464768,29202587648
240831,20727529472,30383480832
246166,21659770880,31283023872
251534,22332805120,33390219264
256903,23329529856,34033192960
262305,24147816448,35229491200
267668,25073696768,36143591424
273062,25891381248,37225672704
278430,26750554112,38298894336
283782,27733643264,38993289216
289179,28468133888,40010571776
294561,29468106752,40758910976
299935,30351093760,42024030208
305311,31021527040,42622042112
310677,32023785472,43700826112
316073,32890097664,44624592896
321431,33914748928,45526179840
326812,34645479424,46201188352
332197,35673104384,47368876032
337553,36570394624,48308355072
342934,37623451648,50976350208
348312,38409900032,51898978304
353718,39534899200,53097140224
359065,40370466816,54747926528
364453,41276030976,55997108224
369831,42692259840,56888401920
375209,43705536512,57774829568
380639,44989472768,59034828800
386033,45868380160,59884146688
391418,46607396864,61016035328
396801,48027303936,62130434048
402204,48977154048,62925066240
407612,50215792640,63771750400
412998,51265331200,64413700096
418383,51954098176,65536929792
423774,53362540544,66796666880
429175,54213283840,67337175040
434564,55223427072,68702515200
439987,57109848064,71332376576
445362,58541641728,72025886720
