timestamp_ms,bytes_read,bytes_written
0,761856,69632
5179,139730944,106033152
10495,144060416,294875136
15809,295489536,727601152
21121,748994560,1521373184
26459,1161093120,2620096512
31803,1463685120,3753324544
37172,2235097088,4997566464
42546,3040296960,6178271232
47922,3711033344,7802855424
53298,4420136960,9314598912
58677,5325115392,10315792384
64038,6346629120,11515371520
69434,7489785856,13057609728
74814,8677982208,14260576256
80209,9789693952,16062291968
85574,10853285888,17505144832
90988,11996319744,18715918336
96399,13203279872,20033286144
101788,14397603840,21196304384
107194,15378804736,22204092416
112604,16588779520,23343443968
118002,17696428032,24968916992
123443,18948997120,26212159488
128856,20222300160,27385053184
134257,21906030592,28741443584
139632,23283154944,29894832128
145019,24789045248,31635529728
150425,26263003136,32580784128
155797,27680182272,33768521728
161185,28788584448,35040673792
166616,30314033152,36188053504
172049,31918587904,37312049152
177449,33203462144,38549725184
182854,34544197632,39769538560
188279,36058591232,40654409728
193694,37542809600,41909870592
199096,39024574464,43226398720
204496,40377503744,44069859328
209925,42241466368,45429075968
215329,43563585536,46540259328
220724,46612791296,47549423616
226123,48184541184,49740578816
231494,50359660544,51090968576
236921,53008351232,51503726592
242324,54655700992,51922919424
247714,57107832832,53231734784
253085,59088965632,54158827520
258465,60546650112,55148740608
263837,63433891840,56527937536
269238,65066278912,57200689152
274667,67344760832,58659287040
280086,69181452288,59331510272
285482,71227232256,60468203520
290887,72961724416,61143138304
296267,74410594304,62227005440
301677,77314662400,63424794624
307074,79021629440,64152887296
312518,81164570624,65529565184
317960,84414427136,66289627136
323359,86451011584,69095862272
328928,88394539008,69283385344
334445,91257683968,70633041920
340043,93845786624,71465639936
345606,95544315904,72372158464
351092,98544214016,73734447104
356712,101092913152,74384719872
362300,103052288000,74837860352
367892,105639616512,76087586816
373487,108462399488,77555011584
379100,110236561408,78243807232
384678,111798984704,78600359936
390241,114553532416,80149663744
395847,117763076096,81242116096
401380,119978979328,81687736320
406960,122905210880,82963591168
412563,125170855936,83738267648
418117,127229747200,84368044032
423637,130263117824,85459243008
429170,133275160576,86680481792
434790,136154238976,87504977920
440374,139301171200,88157962240
445974,141835476992,89413943296
451520,144070295552,90596442112
457002,147645243392,90605453312
462614,149954105344,91436130304
468150,152392806400,92644139008
473665,155217723392,93081395200
479298,157262626816,93546233856
484838,160378257408,94895955968
490397,163812249600,96234848256
495961,166477352960,96894803968
501480,169427234816,97292419072
507002,172376645632,99687792640
512588,174308282368,100234579968
518109,177869611008,101196447744
523710,180819578880,102348570624
529243,184113025024,102801768448
534810,185994817536,103089356800
540324,189492797440,104377282560
545934,192927539200,105290936320
551471,195956248576,106177310720
557062,198992560128,106649247744
562597,201087787008,107078090752
568117,204805472256,108083560448
573624,208282877952,109410861056
579195,211353313280,110246281216
584742,214911651840,110513287168
590329,216970506240,110875947008
595824,219987611648,112038588416
601375,224732753920,112662241280
606923,228670857216,113699532800
612457,231522095104,114291163136
618008,234481508352,114635923456
623474,237281697792,115733843968
629030,241579696128,116640894976
634507,245262336000,117653397504
640043,249157611520,118836727808
645601,252325146624,119368687616
651145,255560302592,120199770112
656655,259693252608,121019060224
662209,263498387456,122278383616
667720,267218186240,123426893824
673277,270466809856,123953037312
678847,273566859264,124126584832
684386,277684805632,125526192128
689998,281994457088,126654304256
695507,286180589568,127116951552
701081,289758781440,128075976704
706577,293536686080,128362270720
712160,294704979968,129043537920
717697,295527849984,129659691008
723204,297807433728,129659691008
728694,302444953600,131880837120
734257,305452105728,132205518848
739777,309501251584,133390389248
745323,313816207360,134620270592
750875,318145892352,135766024192
756391,322858328064,136283799552
761967,326755471360,136786821120
767482,330197614592,137889722368
772990,335441489920,138561556480
778583,339613691904,139864707072
784106,344568156160,140604735488
789668,347838894080,141024370688
795181,351570481152,141297475584
800714,355009929216,142690725888
806267,359947247616,143852404736
811830,363932073984,144948989952
817380,369180327936,146210512896
822961,373563944960,146672197632
828489,377522823168,147457855488
834034,382966652928,148267089920
839580,387756650496,149649035264
845107,392398327808,150743683072
850634,396673630208,151004426240
856189,400693092352,151504932864
861751,403979538432,152858398720
867312,409011941376,153759072256
872885,414250778624,154653863936
878400,418481573888,155837353984
883962,423770918912,156173647872
889553,428420456448,156599328768
895144,432061587456,156866289664
900688,436385099776,158321586176
906267,441440841728,158739628032
911770,445801480192,160303542272
917369,450347892736,160839364608
922877,455303761920,161767497728
928446,459238531072,162030149632
934072,462345089024,162563305472
939600,466467946496,163431084032
945091,471054356480,164374491136
950630,475360874496,165329027072
956168,481066631168,166411579392
961756,485741371392,166601924608
967274,490270617600,168152137728
972808,494728577024,168386068480
978383,498454618112,168990052352
983885,502716096512,169192390656
989494,507708469248,170770214912
995060,512897007616,171144327168
1000620,516288135168,172513669120
1006160,520026701824,173853081600
1011694,525066838016,173858734080
1017228,529668161536,173865926656
1022784,532868857856,175130374144
1028374,534699372544,175247474688
1033962,536786046976,177519312896
1039479,541614510080,177525374976
1045051,545408012288,177544945664
1050634,549498855424,178158698496
1056173,553139924992,179083698176
1061716,558381744128,179875999744
1067202,563043504128,180316676096
1072818,568245145600,180325801984
1078373,572190740480,181347082240
1083867,576354545664,181383811072
1089427,579540025344,182028574720
1095077,581273841664,183773409280
1100708,583933444096,185145487360
1106236,587589459968,185153482752
1111741,591506239488,185720352768
1117273,595815960576,186577567744
1122869,599199596544,187176144896
1128434,603550818304,187185074176
1134013,607174516736,188109135872
1139606,610854170624,188406513664
1145151,613837885440,189050302464
1150652,617732079616,189338415104
1156256,621305942016,190684651520
1161894,626190823424,191215411200
1167417,629675941888,191611244544
1173027,631507615744,191611244544
1178603,632827387904,194436665344
1184067,638144970752,194442006528
1189600,641881997312,194450378752
1195114,646022049792,195586203648
1200663,649548296192,195671863296
1206234,653429059584,196429492224
1211747,657697705984,196702023680
1217346,661392551936,197998309376
1222891,666604773376,198609473536
1228439,670190301184,199163318272
1234012,674139287552,199172427776
1239545,678052425728,200179503104
1245146,681974214656,200609193984
1250739,685169041408,201229557760
1256259,689264631808,201615392768
1261834,692325179392,202413576192
1267341,697297813504,203329028096
1272890,701597212672,203336876032
1278484,705267847168,204269142016
1284027,709278601216,204553895936
1289598,712634093568,205684645888
1295091,717823049728,206275756032
1300667,721605681152,206413156352
1306230,724851109888,207024869376
1311681,729217912832,207031701504
1317251,732542689280,208057974784
1322792,737173741568,208463527936
1328330,741737107456,208470638592
1333952,745986760704,209838981120
1339511,751455539200,210163240960
1345014,756310118400,210720604160
1350561,761110945792,211483881472
1356094,766291562496,211491319808
1361633,770464686080,212225318912
1367148,774964842496,212506845184
1372701,780302872576,212561817600
1378247,784696868864,213885689856
1383736,790510874624,214307872768
1389284,795512680448,215196229632
1394861,800838520832,215520268288
1400387,805892542464,215906471936
1405894,811992539136,216864833536
1411435,817163231232,216872648704
1416986,821544943616,217556545536
1422520,826341769216,217805324288
1428071,830924374016,218746732544
1433617,837155975168,219259609088
1439162,842195046400,219829772288
1444679,847557783552,221531066368
1450216,854267076608,221786800128
1455732,860303876096,221794287616
1461242,865465659392,222667837440
1466774,871210762240,222824472576
1472303,874941394944,223239380992
1477831,879684833280,223508373504
1483378,883170426880,223692894208
1488895,887995568128,224856473600
1494387,892571553792,224863141888
1499926,896379748352,225824858112
1505507,903112957952,226475655168
1510963,909047947264,226614870016
1516553,914548494336,227657768960
1522099,919937093632,228089589760
1527658,924148830208,228625481728
1533175,929714851840,228719239168
1538700,934383575040,229776605184
1544234,939883347968,230006382592
1549767,944841977856,231017021440
1555422,950728065024,231228223488
1561001,955913392128,232027684864
1566537,961386549248,232379879424
1572084,966493822976,232740364288
1577604,971741786112,233065893888
1583132,976553938944,233149652992
1588730,981143715840,234351722496
1594241,986681729024,234783080448
1599748,991562612736,235812413440
1605302,997660372992,236220850176
1610855,1003870117888,236227764224
1616414,1009683644416,237414400000
1621949,1016029917184,237736468480
1627481,1021677756416,237744136192
1632987,1026136485888,238751178752
1638525,1031096860672,238919491584
1644083,1034925473792,239332311040
1649583,1040642904064,240420597760
1655118,1046104113152,240425857024
1660750,1050694942720,240654118912
1666267,1054125010944,241962881024
1671867,1054889713664,242636525568
1677475,1055737995264,243281989632
1682987,1058377875456,243281989632
1688567,1059138641920,243931893760
1694186,1059912380416,244586352640
1699735,1060696559616,245260816384
1705310,1061464735744,245935951872
1710800,1063448567808,246152056832
1716344,1067040731136,248476110848
1721857,1073250619392,248481419264
1727418,1079072100352,248488726528
1732928,1083883139072,249524502528
1738423,1090671681536,250390642688
1743947,1095825154048,250683310080
1749466,1100432429056,251436609536
1754949,1105995202560,251475230720
1760488,1111083180032,251481604096
1766016,1115802931200,252887486464
1771608,1122264678400,253321568256
1777114,1128463396864,253326991360
1782755,1133305008128,254539784192
1788318,1140481597440,255221358592
1793868,1147194601472,255465725952
1799435,1151838191616,256523898880
1804967,1157983248384,257291337728
1810515,1163569278976,257330790400
1816054,1167959068672,258063671296
