timestamp_ms,bytes_read,bytes_written
0,5435392,1765376
5367,140767232,30588928
10709,142602240,87814144
16077,144670720,153165824
21411,146411520,221626368
26795,147869696,309956608
32141,149032960,423800832
37462,150999040,547799040
42834,293249024,736886784
48191,450109440,1061490688
53552,746352640,1587159040
58903,891355136,2148741120
64250,1160929280,2785075200
69746,1296318464,3304534016
75105,1564635136,3987750912
80467,2101014528,4658032640
85835,2503499776,5561307136
91194,3006738432,6291271680
96544,3442188288,6996664320
101924,3844444160,8105082880
107449,4381007872,9218629632
113018,4917477376,10062659584
118606,5588123648,10858651648
124142,6258286592,11702128640
129668,6794670080,13047902208
135239,7465078784,14099943424
140742,8195543040,15799554048
146281,8939532288,16881491968
151839,9943527424,17856159744
157448,10568593408,18777849856
162982,11339268096,19780694016
168537,12101881856,20787027968
174120,12873641984,21527662592
179688,13752754176,22317539328
185285,14648426496,23160184832
190851,15600107520,24889290752
196403,16651497472,25873100800
202004,17431273472,26754478080
207570,18473254912,27740889088
213138,19289903104,29418885120
218721,20495183872,31561977856
224290,21646434304,32755253248
229834,22575398912,33852039168
235403,23894175744,34785574912
240946,24744923136,36290514944
246530,25720172544,37536223232
252128,26655256576,38324506624
257678,27757867008,39465283584
263218,28825706496,40822669312
268818,29788975104,41620434944
274377,30846930944,42798600192
279943,31940218880,43971395584
285533,32820961280,44742524928
291125,33936736256,46087331840
296662,34991108096,47205912576
302251,35935207424,49945350144
307827,37169295360,51197620224
313438,38384328704,53669896192
319026,39450021888,55105392640
324627,40589078528,55991046144
330178,41794490368,57476431872
335800,43003916288,58395119616
341389,43981139968,59627053056
346955,45247217664,60814286848
352516,46469648384,62100099072
358100,47691288576,62681440256
363650,48589000704,64020422656
369217,50090110976,65242161152
374767,51070550016,66469543936
380354,52490502144,70357159936
385977,53557329920,71385018368
391533,54988066816,72850706432
397173,56100003840,73332600832
402730,57305120768,74909814784
408313,58937204736,76005617664
413872,60087562240,77036081152
419469,61299445760,78236385280
425078,63062872064,79079084032
430666,64152133632,79740297216
436272,65095303168,81363156992
441896,66303754240,82426085376
447520,67438682112,83650379776
453100,69357887488,84827373568
458722,70384664576,85738893312
464308,71721062400,86823624704
469895,72781094912,88263380992
475509,74419580928,88759529472
481125,75903180800,93535838208
486733,77748977664,95871459328
492384,79134789632,96648519680
497982,80511823872,97809920000
503577,82264666112,99611086848
509171,83311665152,100533800960
514740,85428752384,103242358784
520302,86705004544,104594706432
525935,88364302336,105632165888
531561,89619021824,106479095808
537137,90723483648,107423256576
542735,92026257408,108573908992
548367,93299654656,109643776000
553976,94870401024,110294487040
559559,96087003136,111675908096
565160,97269342208,112829640704
570843,98770817024,113897099264
576471,100187381760,114590121984
582127,101349810176,115916791808
587778,102834737152,117516091392
593415,103937875968,118065446912
598986,105640873984,119249829888
604602,106848509952,120591519744
610225,108736987136,122003218432
615871,110258839552,122979426304
621452,111664533504,124394205184
627053,113045622784,125626355712
632686,114903519232,127002779648
638314,116566999040,127709323264
643927,118445211648,129091715072
649500,119771746304,130389213184
655069,121917923328,131601772544
660692,124528680960,132125585408
666311,125944463360,132212391936
671882,127393558528,133915312128
677431,129190150144,135256178688
682999,131224051712,136564871168
688625,133646340096,137887096832
694211,135987400704,138638790656
699817,137756512256,140027006976
705384,139907428352,141300527104
710969,142278254592,142342721536
716597,143934660608,142817972224
722173,145572339712,144163676160
727750,147748171776,145655975936
733346,149141942272,147131772928
738959,151297159168,148125974528
744554,152756035584,149465403392
750136,154765643776,150911549440
755691,156756987904,152408502272
761332,158557138944,152893124608
766906,160217554944,154249023488
772527,161880698880,155533979648
778108,164561408000,157058650112
783692,166018134016,157919760384
789296,167979016192,159009927168
794928,168961675264,160333889536
800503,170819338240,161446281216
806071,172920864768,162601488384
811714,174265229312,163730804736
817295,176430637056,165061799936
822883,178333814784,166385528832
828472,179684577280,167657312256
834062,181707194368,169368522752
839676,183517634560,170238750720
845322,185825210368,171585388544
850938,188437983232,172901240832
856507,190767951872,174173196288
862113,193933774848,175651848192
867749,196846309376,178625531904
873371,198746497024,179053592576
878961,201335042048,179981410304
884579,203748601856,180941504512
890219,205682462720,181431189504
895788,208063012864,182504431616
901321,210426179584,182828277760
906939,212500471808,183136296960
912489,214706769920,185402490880
918097,217738506240,186013843456
923687,220435329024,186680369152
929294,222614163456,187359580160
934888,225402392576,188052672512
940508,228637122560,188464738304
946147,230845435904,189109088256
951731,233410568192,190234218496
957357,236184395776,190759243776
962948,238833795072,191409319936
968557,240551755776,192350842880
974093,243443179520,192350973952
979707,246222049280,193487171584
985297,248877592576,194127732736
990895,251512098816,194515021824
996464,254251749376,195369697280
1002081,256334573568,196491530240
1007654,258768584704,197567381504
1013261,261650767872,198285676544
1018846,264340746240,199148904448
1024484,265681317888,199800242176
1030059,268326379520,200476454912
1035688,269877432320,201713672192
1041330,272379678720,202726690816
1046975,274741092352,203185319936
1052584,276519284736,204069679104
1058219,277851811840,205250326528
1063823,280224563200,206050725888
1069469,282182553600,206878875648
1075034,284198965248,208189325312
1080668,286260924416,209043992576
1086268,288577601536,209638060032
1091865,290503929856,211010125824
1097485,292301398016,212113096704
1103095,294545985536,212953452544
1108673,296545947648,213913612288
1114354,298324180992,214518022144
1119932,300098654208,215638409216
1125537,301636685824,216779182080
1131164,304079101952,217767518208
1136779,305405059072,218663354368
1142378,306822029312,219061112832
1147981,308513021952,220103524352
1153596,309996494848,221504094208
1159235,311406223360,222452723712
1164862,313077256192,223716716544
