timestamp_ms,bytes_read,bytes_written
0,52109312,2674688
5396,135716864,32194560
10741,136028160,67948544
16078,136028160,102686720
21462,136028160,152956928
26838,136028160,214892544
32211,136028160,298389504
37584,136028160,395509760
42940,275509248,537657344
48288,412639232,796049408
53628,546873344,1192210432
58975,815263744,1715445760
64314,949489664,2229723136
69650,1083666432,2807484416
74996,1218158592,3373092864
80334,1620672512,3976314880
85686,2022916096,4851335168
91021,2425405440,5541715968
96366,2827681792,6229692416
101706,3366117376,6868418560
107072,3975614464,8034861056
112417,4425433088,9048391680
117761,5062991872,9725259776
123104,5626171392,10456772608
128455,6344093696,11236839424
133808,7115534336,12059951104
139167,7832416256,13372170240
144529,8656330752,14259486720
149916,9549254656,15028912128
155251,10234830848,16680808448
160613,10908692480,17683742720
165949,11825098752,18535305216
171308,12306620416,19307462656
176662,13005942784,20130652160
182071,13904904192,20948774912
187457,14664138752,21809074176
192818,15311667200,22408876032
198168,16208519168,23185457152
203549,17020170240,24019935232
208916,17976356864,25087528960
214284,18971672576,26383400960
219667,19641417728,27029680128
225010,20335550464,28084523008
230368,21343637504,29094342656
235761,22254567424,30377414656
241124,23017054208,32186503168
246485,23924051968,33363611648
251869,24774578176,34063233024
257262,25660252160,35318054912
262654,26873667584,36207312896
268014,27357638656,37262266368
273369,28325081088,38350659584
278746,29379072000,39121854464
284126,30245912576,40324997120
289516,31261827072,41228713984
294908,32114278400,42164895744
300295,33183993856,43243941888
305696,33933041664,44241924096
311157,35016118272,45284134912
316611,35923169280,46192328704
322079,37198213120,47384395776
327522,37964210176,48163627008
332981,39101652992,49498628096
338493,39712952320,52330356736
343941,40844275712,53248454656
349389,42105843712,55041949696
354881,43209306112,56173096960
360417,44324884480,57436430336
365873,45383331840,58282569728
371355,46617280512,59719143424
376838,47530713088,60420755456
382294,48565088256,61304918016
387740,49487699968,62545039360
393230,50619191296,63349874688
398732,51877629952,64454881280
404206,52737339392,64793702400
409658,53896208384,66021150720
415172,54930694144,67293970432
420629,55983714304,68057604096
426114,57145348096,69266395136
431631,58800476160,70218838016
437065,60118134784,72464928768
442568,61342248960,73545637888
448053,62164783104,74641403904
453507,63323881472,75096399872
459057,64587210752,76147372032
464524,65723371520,77416083456
470011,66915672064,78369398784
475463,67706839040,78927155200
480975,69199151104,79957585920
486493,70526459904,81232564224
492010,71543246848,81950769152
497541,72608530432,82743025664
503018,73465044992,83857838080
508556,74855149568,84843515904
514012,76343357440,86037086208
519514,77538357248,87035445248
525070,78911602688,88203108352
530542,80888717312,90178228224
536006,82154332160,90823323648
541537,83174440960,91938709504
547038,84461830144,92786331648
552478,86444269568,93562945536
557942,88492998656,98038902784
563384,90120540160,99587076096
568901,91750809600,100496625664
574380,93070282752,101454417920
579911,94686679040,102519119872
585412,96248295424,103666237440
590923,97569845248,104840679424
596505,100034195456,107577266176
601923,101384093696,108363497472
607446,102740992000,109113548800
613039,104639877120,110385725440
618508,106387853312,111374303232
624025,107918725120,112294813696
629517,109333438464,113168982016
635003,111421751296,114176647168
640489,112954662912,115401134080
645990,114621440000,116020289536
651477,115646128128,116722237440
656959,117076733952,118062788608
662416,118836776960,119377235968
667895,119985414144,120122490880
673377,121397915648,120766640128
678812,122530283520,121484185600
684311,124210233344,122739666944
689778,125698117632,123751030784
695243,126978510848,124782907392
700723,128151162880,125446459392
706184,129664020480,126775980032
711696,131373473792,128297320448
717170,133343727616,129556516864
722636,134783246336,130360856576
728058,136211869696,131245969408
733580,138127785984,132680593408
739074,139886182400,133490176000
744502,141629005824,134055489536
749994,143326244864,134865178624
755465,144929976320,136207286272
760989,146671525888,137508225024
766424,149655375872,138535141376
771852,152152453120,138924285952
777331,153692442624,144461914112
782816,155347283968,144928997376
788261,157158264832,145446871040
793774,159378739200,146817437696
799214,162037682176,147987050496
804704,164331065344,148799295488
810150,166591823872,149793542144
815620,168177659904,150561505280
821102,170238488576,151282606080
826589,172423241728,152541925376
832054,174561927168,153737465856
837530,176142651392,154679898112
842980,178028294144,155834109952
848498,180289232896,157008543744
853972,182271152128,158223605760
859412,185305296896,159316856832
864837,186647851008,160128876544
870286,188300730368,161203523584
875773,190597500928,162744696832
881238,192994914304,163611385856
886670,195414540288,164571852800
892153,197175402496,165480669184
897605,199424786432,166839717888
903082,202087890944,167677493248
908542,205188403200,169345048576
914049,207354462208,170272333824
