timestamp_ms,bytes_read,bytes_written
1,176640000,7135232
5387,176660480,30937088
10690,177057792,61403136
16039,177188864,98410496
21404,177192960,135389184
26772,177192960,183803904
32127,177201152,247685120
37480,177205248,320847872
42832,179240960,450084864
48197,314269696,655519744
53507,448503808,917082112
58855,716914688,1352634368
64202,851136512,1878388736
69573,985354240,2465456128
74920,1253969920,2953940992
80250,1388167168,3568865280
85578,1924677632,4206972928
90907,2327158784,4887789568
96250,2729541632,5664346112
101601,3131887616,6444040192
106965,3534381056,7493808128
112306,4070866944,8584241152
117621,4473200640,9233805312
122950,5009862656,9885188096
128301,5680320512,10577993728
133621,6350811136,11391860736
138982,6887325696,12714455040
144334,7423610880,13643014144
149693,7960461312,15331696640
155058,8631410688,16106323968
160403,9033867264,16935514112
165773,9570578432,17812140032
171114,10041806848,18690736128
176430,10904727552,19584831488
181804,11671326720,20440072192
187151,12509913088,21143425024
192525,13307138048,21812830208
197858,14215372800,22554656768
203230,15161692160,24220573696
208591,15900258304,25109663744
213950,16814006272,25898942464
219317,17594720256,26597515264
224692,18596888576,28105281536
230074,19562811392,29072486400
235449,20335165440,31125979136
240839,21394972672,32241451008
246197,22284345344,33302179840
251541,23135956992,34071592960
256927,24127868928,35371466752
262290,25170747392,36448350208
267675,25929019392,37161680896
273053,27021148160,38310686720
278418,27892039680,39479595008
283810,28805779456,40127242240
289179,29875290112,41324343296
294545,30763233280,42393894912
299916,31769436160,43118063616
305292,33019006976,44457639936
310624,33833836544,45301981184
316013,35134672896,46558916608
321425,35886829568,49095467008
326823,37084123136,50381594624
332197,38053150720,52569870336
337588,39184855040,54107291648
342990,40292851712,54946193408
348370,41447485440,56379047936
353760,42616733696,57449242624
359133,43332620288,58448904192
364470,44732993536,59485147136
369838,45826654208,60492759040
375260,47184318464,61398544384
380662,48031969280,62170628096
386048,49288179712,63335706624
391454,50412806144,64198123520
396807,51385802752,65761533952
402193,52589383680,68569313280
407578,53643059200,69353787392
412966,55001251840,70701948928
418360,56226533376,71178055680
423758,57198915584,72636964864
429153,58729312256,73740247040
434509,59939553280,74165149696
439915,60968513536,75422011392
445355,62571880448,76877545472
450778,63845748736,77646012416
456201,64514359296,78571409408
461641,65665486848,79796314112
467034,67004997632,80389705728
472426,68139069440,81638551552
477820,69618778112,82693492736
483216,70975741952,83310297088
488601,72017534976,84748517376
494008,72972267520,85794156544
499414,74396741632,86192177152
504834,75362713600,90874937344
510211,76750798848,93175619584
515646,78132613120,94038650880
521047,79425114112,95108608000
526495,81001701376,96927936512
531906,82045517824,97606758400
537339,83841847296,100151119872
542840,84980785152,101182291968
548321,86715478016,102505971712
553806,88319483904,103494520832
559314,89320534016,104120500224
564781,90415382528,105344131072
570234,91811856384,106701615104
575711,93059788800,107458854912
581189,94295580672,108182937600
586690,95489830912,109524455424
592207,97319211008,110999519232
597725,98361204736,111702757376
603209,99679096832,112598425600
608661,100824502272,113783799808
614129,102310645760,114971725824
619591,103428026368,115308802048
625077,104855793664,116573278208
630586,106370727936,117937143808
636105,107968372736,119346327552
641565,109523587072,120064987136
647058,110840803328,121403412480
652552,112274493440,122729955328
658072,114151944192,124131131392
663555,115297415168,124684324864
669022,117197606912,125908291584
674579,118400241664,127384530944
680058,120844275712,128408940544
685584,123391324160,128745504768
691044,125009637376,134174523392
696492,126334889984,135013797888
701943,128079773696,136147210240
707433,130139652096,137440092160
712921,132345737216,138399662080
718370,134324355072,139098869760
723883,136395055104,140440936448
729359,138576367616,141888901120
734853,140542947328,142576545792
740309,142061768704,143247044608
745815,143717974016,144548487168
751292,145808179200,145810329600
756785,147388919808,147108618240
762252,149733519360,148106526720
767751,151357431808,149364969472
773223,152862113792,150741729280
778706,155273605120,152009297920
784148,156986281984,152463474688
789686,158713184256,153841766400
795135,160447631360,155307315200
800627,162911936512,156716093440
806104,164227149824,157451513856
811629,166035881984,158433841152
817095,167035351040,159740469248
822600,168780763136,160942714880
828054,171029856256,162151710720
833512,172635029504,163262947328
838959,174166753280,164467015680
844489,175996170240,165634482176
849964,177401655296,166816968704
855407,179692163072,168150409216
860866,181107437568,168667713536
866337,182806888448,170117304320
871804,184587096064,171444957184
877337,186968195072,172715450368
882987,189809831936,173555494912
888418,192487686144,175031857152
893915,194451652608,175592566784
899334,196064747520,177066110976
904791,198017753088,177771999232
910260,200095150080,178624536576
915766,202713956352,179338752000
921305,205491216384,179533795328
926719,206994784256,184572989440
932172,209550327808,185136893952
937613,211937951744,185644212224
943084,214119821312,186245472256
948544,216883769344,187199483904
954015,220007100416,187809341440
959485,221611560960,188307685376
964951,223626657792,189505495040
970422,226642083840,190223306752
975870,229239816192,190606061568
981289,230714036224,195104157696
986742,233486512128,195104157696
992197,236240535552,196209610752
997689,238395891712,196767289344
1003109,241185841152,197119238144
1008550,243423023104,198419111936
1014022,245482549248,199331807232
1019498,248187740160,199775420416
1024981,250453721088,201074511872
1030438,252812189696,201369735168
1035902,254569816064,201489862656
1041380,256882499584,203087224832
1046854,258804023296,204142792704
1052348,261118394368,204681265152
1057840,263519039488,205606969344
1063372,265366048768,206357254144
1068844,267044249600,206764232704
1074377,268722745344,208005214208
1079844,270643634176,208926031872
1085299,272610406400,209643646976
1090740,275136884736,210638635008
1096211,276715372544,211640156160
1101671,278693109760,212289740800
1107126,280816271360,212868722688
1112614,282329235456,213889945600
1118132,284652146688,214958571520
1123656,286397300736,216229023744
1129114,287956234240,216868839424
1134601,289567539200,217677352960
1140100,291147419648,218780639232
1145601,293346885632,219757158400
1151152,294596612096,220615741440
1156598,295932608512,220909244416
1162178,297594941440,222242467840
1167683,299162771456,223451566080
1173234,300620177408,224575881216
1178792,302274105344,225543905280
1184279,303599046656,226412335104
1189763,305456820224,227711090688
1195235,306712023040,228939689984
1200734,308425646080,230050066432
1206256,309879025664,231117504512
1211746,311295090688,231575175168
1217234,312891199488,232771674112
1222717,314292764672,233974779904
1228253,316116135936,234972856320
1233805,317204971520,236100116480
1239302,319052480512,237267050496
1244850,320235724800,238415294464
1250328,321772642304,238902542336
1255810,325185064960,239919267840
1261309,328277741568,239988195328
1266828,330412797952,241667031040
1272551,332024500224,248263852032
1277931,335857209344,250940489728
1283349,340656676864,250940489728
1288797,345064669184,251142606848
1294270,349783728128,252620148736
1299713,354045063168,253290418176
1305208,357816061952,254303395840
1310649,361810292736,254333362176
1316090,364778061824,255287644160
1321547,369091678208,256034545664
1326984,373001412608,256144015360
1332499,376525082624,257571696640
1337912,380184252416,257598345216
1343420,383029137408,259289108480
1348940,387097575424,260043460608
1354418,389464485888,261419520000
1359853,392569348096,261538422784
1365324,394651226112,263028084736
1370775,398407409664,263438835712
1376230,400425058304,264838795264
1381674,403864580096,265012822016
1387145,405977911296,266608574464
1392630,408141000704,267684839424
1398132,411485548544,268957753344
1403614,413107888128,269791326208
1409070,416861917184,270401945600
1414556,418756218880,271354638336
1419985,421125488640,271737696256
1425525,422742536192,273261867008
1431033,425552691200,274312544256
1436531,428322074624,274657198080
1442024,429763280896,275383885824
1447540,432566034432,276375805952
1453082,434251972608,277601726464
1458562,436526366720,278591488000
1464067,439067574272,279779196928
1469529,439795412992,280450891776
1475030,441798750208,280952909824
1480516,443210485760,281805189120
1486030,444432683008,282765037568
1491545,446305316864,283755896832
1497009,448588271616,284644765696
1502508,450220675072,285876408320
1507961,451955544064,287220424704
1513514,453809901568,288608915456
1519017,455865556992,290104360960
1524527,457916219392,291532906496
1530006,459377221632,292316262400
1535469,462201315328,293229522944
1540917,463532224512,294517231616
1546403,465855033344,295858450432
1551886,467755225088,297002496000
1557398,469602947072,298103181312
